idseoul_sights,name,addres,phone,site,time,week,rest,traffic,else
26,서울시립미술관 (서소문본관),04515 서울 중구 덕수궁길 61 (서소문동 서울시립미술관) ,02-2124-8800,http://sema.seoul.go.kr ,[하절기 (3월 ~ 10월)] 화~금 10:00~20:00 (토?일?공휴일 19:00까지) [동절기 (11월 ~ 2월)] 화~금 10:00~20:00 (토?일?공휴일 18:00까지)  ※ 뮤지엄나이트 운영 (밤 10시 연장 개관).   - 서소문본관 : 매월 둘째주 수요일 마지막 주 수요일(문화가 있는 날)   - 북서울미술관 : 매월 2회(첫째 셋째주 금요일) 마지막 주 수요일(문화가 있는 날),화~일,-월요일 -1월 1일 ,1?2호선 시청역 10번 출구    5호선 서대문역 6번 출구   ,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
27,서울역사박물관,03177 서울 종로구 새문안로 55 (신문로2가 서울역사박물관) ,02-724-0274,http://www.museum.seoul.kr,09:00~18:00 ,화~일,-월 -1월 1일  ,3호선 경복궁 7번출구  5호선 서대문 4번 출구 300미터  5호선 광화문 7번 8번 출구 400미터  ,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
28,서울역사박물관 온라인 교육 서비스,03177 서울 종로구 새문안로 55 (신문로2가) ,02-724-0274,https://museum.seoul.go.kr/www/edu/eduSch/eduSch2th.jsp?sso=ok,,,,1호선 시청역 123번 출구 / 5호선 광화문역 78번 출구 / 5호선 서대문역 4번 출구,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
29,선정릉(선릉),06153 서울특별시 강남구 선릉로100길 1 (삼성동) ,02-568-1291,http://royaltombs.cha.go.kr/html/HtmlPage.do?pg=/new/html/portal_01_08_01.jsp&mn=RT_01_08,06:00 ~ 21:00 (3월 ~ 10월) 06:00 ~ 17:30 (11월 ~ 1월) 06:00 ~ 18:00 (2월),화~일,월요일,2호선?분당선 선릉역 10번 출구 9호선 선정릉역 3번 출구,장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
30,송파관광정보센터,05617 서울 송파구 잠실로 180 (신천동 송파관광정보센터) ,+82-2-421-0970~1,,10:00~19:00 (동절기 18:00까지),,설 추석명절 휴무,2호선 잠실역 1번 출구 8호선 잠실역 11번 출구,장애인 안내(휠체어 대여 및 기타)
31,쇳대박물관,110-810 서울특별시 종로구 이화장길 100 (동숭동) ,02-766-6494,http://ehwadong.com/,10:00 ~ 18:00 ,화~토,월요일 일요일,4호선 혜화 2번 출구 도보 20분 ,엘리베이터장애인 전용 주차장접근가능
32,스마트서울 전시관,04524 서울 중구 세종대로 110 (태평로1가 서울특별시청)  B1,02-2133-2942,http://www.seoulcitizenshall.kr/?r=sch&m=program2&cate=&ing=active&sort=uid&mod=view&p=1&uid=2410,10:00~18:00(입장마감 17:30) ※ 사전예약을 통한 전시관람,월요일 - 일요일,1월 1일 설날/추석 당일 매월 마지막 일요일,1호선 시청역 4번 출구 2호선 을지로입구역 하차 후 서울시청 방면 지하 연결출구,엘리베이터장애인 전용 주차장장애인화장실접근가능
33,스페이스 씨,135-120 서울특별시 강남구 언주로 827 스페이스씨 (신사동) ,02-547-9177,http://www.spacec.co.kr/,하절기(4-10월) 10:00 ~ 19:00  동절기(11월-3월) 10:00 ~ 18:00,월~토,-일요일 -1월1일 -구정 및 추석 연휴 -기타 기관장이 정하는 임시 휴일,3호선 압구정 3번 출구 도보 10분 ,엘리베이터장애인 전용 주차장접근가능
34,양화진외국인선교사묘원,04084 서울 마포구 양화진길 46 (합정동 양화진홍보관) ,02-332-9174,http://www.yanghwajin.net/v2/index.html,개방시간 10:00~17:00 안내시간 월~토요일 AM 10:00 11:30 / PM 02:00 03:30  (※ 신정 (1월 1일) 설 연휴 추석 연휴 성탄절에는 안내를 제공치 않습니다.) ,월~토,일요일 ※신정 (1월 1일) 설 연휴 추석 연휴 성탄절에는 안내를 제공치 않습니다.) ,6호선 합정역 7번 출구 도보 10분    2호선 합정역 7번 출구 도보 10분   ,장애인 전용 주차장장애인화장실접근가능
35,연세대학교 스팀슨관&언더우드관&아펜젤러관,03722 서울특별시 서대문구 연세로 50 (신촌동) ,1599-1885,http://www.yonsei.ac.kr/sc/intro/building2016.jsp,월~토 오전 9:00~5:00 연세대학교 캠퍼스 개방일 학교 내부 사정에 따라 이용 시간 및 이용 여하에 차이가 있음 ,,,2호선 신촌 2번 3번 출구 도보 15분,엘리베이터장애인 전용 주차장장애인화장실접근가능
36,예술가의 집 (구 서울대학교 본관),110-809 서울특별시 종로구 동숭길 3 (동숭동) ,02-760-4715,http://artisthouse.arko.or.kr,10:00~20:00 (일요일 법정 공휴일 제외),월화수목금토,,4호선 혜화 2번 출구 도보 5분  ,장애인 전용 주차장장애인화장실접근가능
37,예술의 전당 한가람미술관,06757 서울특별시 서초구 남부순환로 2406  (서초동) ,02-580-1300,http://www.sac.or.kr/SacHome/sachome/main,10:00~19:00,화~일,월요일,3호선 남부터미널 5번 출구 출구 도보  5-10분 소요  3호선 남부터미널 5번 출구 셔틀버스/4429번 버스 환승  ,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
38,운현궁 ,03131 서울 종로구 삼일대로 464 (운현궁) ,02-766-9090,http://unhyeongung.or.kr ,09:00 ~ 18:00 (입장마감 17:30 / 코로나19로 단축운영) ,화~일,월 (공휴일이 월요일일 경우 정상 개장),3호선 안국역 4번출구 50m 앞    5호선 종로3가역 5번출구(안국역방면) 300m 앞   ,장애인화장실접근가능
39,이음피움 봉제역사관,03097 서울 종로구 창신4가길 26 (창신동 이음피움 봉제역사관) ,02-747-6471,http://iumpium.com/,10:00~18:00 (17:30에 입장 마감),화~일,월요일 -공휴일,1호선 동대문역 1번 출구,장애인화장실
40,전쟁기념관,04353 서울 용산구 이태원로 29 (용산동1가 전쟁기념관) ,02-709-3139,http://www.warmemo.or.kr,09:30 ~ 18:00  ,화~일,월요일 (월요일이 포함된 연휴에는 연휴 마지막 다음날 휴관),6호선 삼각지역 11번 12번 출구 (도보 3분)   <br /> 4호선 삼각지역 1번 출구 (도보 5분)   <br /> 1호선 남영역 1번 출구 (도보 10분)   ,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
41,조계사,03144 서울특별시 종로구 우정국로 55 (조계사) ,02-768-8600,http://www.jogyesa.kr,법회 기도 불공 등 사찰 일정에 따라 이용 시간에 차이가 있음,,,3호선 안국 6번 출구 도보 10분 5호선 광화문 2번 출구 도보 15분 1호선 종각 2번 출구 도보 10분,접근가능
42,종묘,03135 서울 종로구 종로 157 (훈정동 종묘공원) ,02-765-0195,http://jm.cha.go.kr/agapp/main/index.do?siteCd=JM,2월 ~ 5월 9월 ~ 10월 09:00~18:00 (입장마감 17:00) 6월 ~ 8월 09:00~18:30 (입장마감17:30) 11월 ~ 1월 09:30~17:30 (입장마감16:30) (※ 홈페이지 참조),,화요일,5호선 종로3가역 8번 출구 도보 5분 <br/> 1호선 종로3가역 11번 출구 도보 5분 <br/> 3호선 종로3가역 8번 출구 도보 5분   ,장애인 안내(휠체어 대여 및 기타)장애인화장실접근가능
43,창경궁,03072 서울 종로구 창경궁로 185 (와룡동 창경궁) ,02-762-4868,http://cgg.cha.go.kr/agapp/public/html/HtmlPage.do?pg=/cgg/06/greeting_01.jsp&pageNo=74000000&siteCd=CGG,09:00 ~ 21:00 (입장마감 20:00),화~일,월,4호선 혜화역 4번 출구 도보 15분  ,장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실
44,창경궁 대온실 ,03072 서울 종로구 창경궁로 185 (와룡동 창경궁) ,(02) 762-4868~9,http://cgg.cha.go.kr/agapp/main/index.do?siteCd=CGG,,,,혜화역 4번출구 700m,장애인 안내(휠체어 대여 및 기타)
45,창덕궁,03072 서울 종로구 율곡로 99 (와룡동 창덕궁) ,02-3668-2300,http://www.cdg.go.kr,"2-5월	09:00 ~ 18:00(입장마감은 17:00) 6-8월	09:00 ~ 18:30(입장마감은 17:30) 9-10월	09:00 ~ 18:00(입장마감은 17:00) 11-1월	09:00 ~ 17:30(입장마감은 16:30)",화~일,월,5호선 종로3가역 6번 출구 도보 10분    3호선 안국역 3번 출구 도보 5분   ,장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실
46,한성백제박물관,05540 서울 송파구 위례성대로 71 (방이동 한성백제박물관) ,02-2152-5800,http://baekjemuseum.seoul.go.kr/ ,09:00~19:00  ,화~일,-월(월요일이 공휴일인 경우 개관) -1월 1일,8호선 몽촌토성 1번 출구→우측(남2문)방면으로 650m 이동 5호선(마천방면) 올림픽공원 3번 출구→남2문 방면으로 1km 이동  ,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
